year,population,PopMale,PopFemale,PopDensity
1950,2536431.018,1266259.556,1270171.462,19.497
1951,2584034.227,1290237.638,1293796.589,19.863
1952,2630861.69,1313854.565,1317007.125,20.223
1953,2677609.061,1337452.786,1340156.275,20.582
1954,2724846.754,1361313.834,1363532.92,20.945
1955,2773019.915,1385658.299,1387361.616,21.316
1956,2822443.254,1410643.208,1411800.046,21.695
1957,2873306.058,1436364.62,1436941.438,22.086
1958,2925686.68,1462864.322,1462822.358,22.489
1959,2979576.147,1490141.399,1489434.748,22.903
1960,3034949.715,1518186.702,1516763.013,23.329
1961,3091843.513,1547019.353,1544824.16,23.766
1962,3150420.761,1576718.903,1573701.858,24.216
1963,3211000.946,1607439.247,1603561.699,24.682
1964,3273978.272,1639369.328,1634608.944,25.166
1965,3339583.51,1672618.879,1666964.631,25.671
1966,3407922.631,1707237.638,1700684.993,26.196
1967,3478770.104,1743114.222,1735655.882,26.74
1968,3551599.436,1779990.92,1771608.516,27.3
1969,3625680.965,1817510.8,1808170.165,27.87
1970,3700437.042,1855390.166,1845046.876,28.444
1971,3775760.03,1893576.318,1882183.712,29.023
1972,3851650.588,1932065.884,1919584.704,29.607
1973,3927780.519,1970688.779,1957091.74,30.192
1974,4003794.178,2009259.494,1994534.684,30.776
1975,4079480.474,2047666.026,2031814.448,31.358
1976,4154666.827,2085824.453,2068842.374,31.936
1977,4229505.919,2123811.87,2105694.049,32.511
1978,4304533.599,2161887.592,2142646.007,33.088
1979,4380506.185,2200418.504,2180087.681,33.672
1980,4458003.466,2239689.027,2218314.439,34.268
1981,4536996.619,2279673.275,2257323.344,34.875
1982,4617386.526,2320329.605,2297056.921,35.493
1983,4699569.187,2361892.584,2337676.603,36.124
1984,4784011.517,2404645.374,2379366.143,36.773
1985,4870921.666,2448724.603,2422197.063,37.442
1986,4960568,2494279.319,2466288.681,38.131
1987,5052521.998,2541075.233,2511446.765,38.837
1988,5145425.994,2588387.929,2557038.065,39.552
1989,5237441.434,2635233.492,2602207.942,40.259
1990,5327231.041,2680895.262,2646335.779,40.949
1991,5414289.383,2725113.179,2689176.204,41.618
1992,5498919.893,2768050.729,2730869.164,42.269
1993,5581597.598,2809940.82,2771656.778,42.904
1994,5663150.428,2851196.996,2811953.432,43.531
1995,5744212.93,2892141.549,2852071.381,44.154
1996,5824891.931,2932815.962,2892075.969,44.774
1997,5905045.647,2973160.99,2931884.657,45.391
1998,5984794.075,3013295.709,2971498.366,46.004
1999,6064239.033,3053349.42,3010889.613,46.614
2000,6143493.806,3093433.858,3050059.948,47.223
2001,6222626.531,3133601.761,3089024.77,47.832
2002,6301773.172,3173900.449,3127872.723,48.44
2003,6381185.141,3214422.031,3166763.11,49.051
2004,6461159.391,3255262.626,3205896.765,49.665
2005,6541906.956,3296485.267,3245421.689,50.286
2006,6623517.917,3338132.929,3285384.988,50.913
2007,6705946.643,3380183.02,3325763.623,51.547
2008,6789088.672,3422546.382,3366542.29,52.186
2009,6872766.988,3465089.423,3407677.565,52.829
2010,6956823.588,3507703.635,3449119.953,53.475
2011,7041194.168,3550332.593,3490861.575,54.124
2012,7125827.957,3592963.006,3532864.951,54.774
2013,7210582.041,3635575.332,3575006.709,55.426
2014,7295290.759,3678161.837,3617128.922,56.077
2015,7379796.967,3720696.374,3659100.593,56.727
2016,7464021.934,3763157.221,3700864.713,57.374
2017,7547858.9,3805469.093,3742389.807,58.018
2018,7631091.113,3847487.861,3783603.252,58.658
2019,7713468.205,3889034.611,3824433.594,59.291
2020,7794798.729,3929973.953,3864824.776,59.917
2021,7874965.732,3970238.39,3904727.342,60.533
2022,7953952.577,4009829.762,3944122.815,61.14
2023,8031800.338,4048771.753,3983028.585,61.738
2024,8108605.255,4087120.942,4021484.313,62.329
2025,8184437.453,4124919.51,4059517.943,62.912
2026,8259276.651,4162157.763,4097118.888,63.487
2027,8333078.318,4198812.392,4134265.926,64.054
2028,8405863.301,4234898.159,4170965.142,64.614
2029,8477660.723,4270434.917,4207225.806,65.166
2030,8548487.371,4305436.923,4243050.448,65.71
